selection_rank,benchmark,task_id,task_column,mix_selection_score,difficulty_tier,observed_count,observed_mean,observed_std,strength_correlation
11,aider-polyglot,polyglot_go_transpose,aider-polyglot/polyglot_go_transpose,1.537916689335191,medium,25,0.5760000000000001,0.4245279731654911,0.6153117930927768
12,seal0,9,seal0/9,1.5144379073250902,medium,26,0.4942307692307692,0.33381192270052856,0.6806259846245617
13,gaia,ed58682d-bc52-4baa-9eb0-4eb81e1edacc,gaia/ed58682d-bc52-4baa-9eb0-4eb81e1edacc,1.507691537957115,medium,26,0.6846153846153846,0.3515813809854289,0.6561101569716861
14,featurebench-modal,linkedin__liger-kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,featurebench-modal/linkedin__liger-kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,1.4899448708106022,medium,26,0.3288461538461539,0.422941411864365,0.5670034589462373
15,gpqa-diamond,89,gpqa-diamond/89,1.4864463959267364,medium,13,0.5923076923076923,0.3852302777091974,0.6262161182175391
16,featurebench-modal,sphinx-doc__sphinx.e347e59c.test_command_line.039d53a2.lv1,featurebench-modal/sphinx-doc__sphinx.e347e59c.test_command_line.039d53a2.lv1,1.4842026491884004,medium,26,0.4352564230769231,0.46991377643286636,0.514288872755534
17,crustbench,crustbench-inversion-list,crustbench/crustbench-inversion-list,1.483391473322563,medium,22,0.6363636363636365,0.39375286959468575,0.5973309114201849
18,seal0,62,seal0/62,1.4780884947072899,medium,26,0.5544871923076923,0.3923836271198045,0.5857048675874854
19,devopsgym,testgen__spotbugs__spotbugs-2795,devopsgym/testgen__spotbugs__spotbugs-2795,1.4727347759262146,medium,19,0.5789473684210527,0.49372797471825575,0.4924683396694972
20,replicationbench,abacus__lcdm_total_force_accuracy,replicationbench/abacus__lcdm_total_force_accuracy,1.4701553745682054,medium,16,0.396875,0.4155075021885886,0.573878641610386
21,seal0,51,seal0/51,1.4684778694594038,medium,26,0.6365384230769231,0.348133617213185,0.6203442522462189
22,seal0,77,seal0/77,1.4568837852104677,medium,26,0.6217948846153847,0.40582745703679074,0.5510563281736769
23,labbench,figqa-0072,labbench/figqa-0072,1.4561608933696981,medium,13,0.4769230769230769,0.41166425108491234,0.5694966422847858
24,lawbench,lawbench-2-5-19-zero-shot,lawbench/lawbench-2-5-19-zero-shot,1.4556764429629505,medium,19,0.6661552631578948,0.23654637182542634,0.7325916095990626
25,crustbench,crustbench-clhash,crustbench/crustbench-clhash,1.4552303555119117,medium,26,0.6230769230769232,0.33889831956785677,0.616332035944055
26,seal0,33,seal0/33,1.45417914112162,medium,26,0.39935899999999996,0.3319355761677951,0.6222435649538249
27,labbench,figqa-0129,labbench/figqa-0129,1.4459298852721578,medium,13,0.5692307692307692,0.4139576629868834,0.5569722222852745
28,mmmlu,mmmlu-bn-bd-00018,mmmlu/mmmlu-bn-bd-00018,1.4447929366109264,medium,19,0.6798245789473685,0.42771591557029826,0.5305385595021667
29,gpqa-diamond,30,gpqa-diamond/30,1.4432687443538745,medium,12,0.5083333333333333,0.37739972914080844,0.592792092136143
30,gpqa-diamond,183,gpqa-diamond/183,1.4431676419691677,medium,13,0.5884615384615384,0.37527110515847595,0.5928965368106919
31,crustbench,crustbench-rhbloom,crustbench/crustbench-rhbloom,1.4415142265748504,medium,26,0.5378205,0.3801865808724458,0.5613276457024047
32,bixbench,bix-61-q2,bixbench/bix-61-q2,1.434753293046715,medium,20,0.5599999999999999,0.4586937976471886,0.487597956937988
33,arc-agi-2,2ba387bc_0,arc-agi-2/2ba387bc_0,1.4335638369189014,medium,20,0.46666664999999996,0.40715817838062335,0.5379441200767395
34,swebenchpro,instance_qutebrowser__qutebrowser-6b320dc18662580e1313d2548fdd6231d2a97e6d-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,swebenchpro/instance_qutebrowser__qutebrowser-6b320dc18662580e1313d2548fdd6231d2a97e6d-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,1.4310217681676476,medium,20,0.58,0.3682390527904394,0.5743211769156698
35,gaia,7619a514-5fa8-43ef-9143-83b66a43d7a4,gaia/7619a514-5fa8-43ef-9143-83b66a43d7a4,1.428913198216699,medium,26,0.6923076923076923,0.34743353201957583,0.5814796661971231
36,swebench-multilingual,jqlang__jq-2750,swebench-multilingual/jqlang__jq-2750,1.4288809345000524,medium,13,0.5230769230769231,0.4869905166567512,0.4668904178433012
37,mmau,ab53be54-3300-4964-b943-82feae51d6cd,mmau/ab53be54-3300-4964-b943-82feae51d6cd,1.4271218168874742,medium,20,0.5600000000000002,0.4029888335921977,0.5356714448337379
38,swtbench,astropy__astropy-14182,swtbench/astropy__astropy-14182,1.4266460218676806,medium,26,0.33076923076923076,0.35493144600182547,0.5717145758658552
39,bixbench,bix-47-q2,bixbench/bix-47-q2,1.426396018173366,medium,19,0.49561399999999994,0.3209927261722198,0.6188648304626846
40,crustbench,crustbench-2dpartint,crustbench/crustbench-2dpartint,1.417432510205333,medium,22,0.4818181818181818,0.4458254485541538,0.47929936934348666
41,lawbench,lawbench-3-1-4-zero-shot,lawbench/lawbench-3-1-4-zero-shot,1.416505717667819,medium,20,0.6999207000000001,0.23903331432691552,0.689010864879365
42,bixbench,bix-12-q5,bixbench/bix-12-q5,1.4147750677485136,medium,19,0.5973684210526315,0.42934273029294634,0.49889387591710566
43,mmau,fc224a87-54f8-4bed-9c3b-fd2190ec7bd2,mmau/fc224a87-54f8-4bed-9c3b-fd2190ec7bd2,1.4135435993053242,medium,20,0.42000000000000004,0.4044749683231337,0.5206070925206521
44,labbench,figqa-0146,labbench/figqa-0146,1.4130784432647578,medium,13,0.4307692307692308,0.4139576629868834,0.5241207802778746
45,labbench,figqa-0120,labbench/figqa-0120,1.411808645505414,medium,13,0.4461538461538461,0.3934372877705976,0.5433713577348164
46,gaia,9d191bce-651d-4746-be2d-7ef8ecadb9c2,gaia/9d191bce-651d-4746-be2d-7ef8ecadb9c2,1.4085802997416692,medium,20,0.5499999999999999,0.4043513323831146,0.515767428897016
47,gpqa-diamond,27,gpqa-diamond/27,1.403732908847439,medium,20,0.6100000000000001,0.34336569426778796,0.5719056761181126
48,labbench,figqa-0112,labbench/figqa-0112,1.400354352633987,medium,13,0.5846153846153848,0.33706003538779455,0.5882943172461926
49,simpleqa,simpleqa-2837,simpleqa/simpleqa-2837,1.3968401257478857,medium,20,0.68,0.32496153618543844,0.5834170511009087
50,labbench,figqa-0075,labbench/figqa-0075,1.3938241065124972,medium,13,0.4461538461538461,0.3855373564966667,0.5332867500158306
51,simpleqa,simpleqa-1834,simpleqa/simpleqa-1834,1.3867385199307034,medium,20,0.69,0.40236799077461416,0.4959089906945507
52,bfcl,bfcl-live-multiple-685-164-1,bfcl/bfcl-live-multiple-685-164-1,1.3858104505130284,medium,26,0.3153846153846154,0.39680678081627485,0.4890036696967535
53,crustbench,crustbench-morton,crustbench/crustbench-morton,1.382711778397409,medium,22,0.5909090909090908,0.3836535972001671,0.5067504888895494
54,gaia,df6561b2-7ee5-4540-baab-5095f742716a,gaia/df6561b2-7ee5-4540-baab-5095f742716a,1.3771668260516674,medium,20,0.51,0.431161222746202,0.45754406484392696
55,crustbench,crustbench-libpsbt,crustbench/crustbench-libpsbt,1.3705854497466,medium,22,0.45454545454545453,0.40979736980307796,0.4684803876358296
56,mmmlu,mmmlu-ko-kr-00108,mmmlu/mmmlu-ko-kr-00108,1.3640624769408183,medium,20,0.625,0.4366062299143245,0.43899470856495515
57,mmau,a68348a7-68ea-4c79-800c-7c870eb15f0a,mmau/a68348a7-68ea-4c79-800c-7c870eb15f0a,1.3623403315379892,medium,20,0.5325,0.3735890121510535,0.5002897809253971
58,simpleqa,simpleqa-1848,simpleqa/simpleqa-1848,1.3607904746511985,medium,20,0.62,0.3682390527904394,0.5040898833992206
59,mmau,8c63d22f-b37e-4873-aef6-c6b44bbc36e6,mmau/8c63d22f-b37e-4873-aef6-c6b44bbc36e6,1.3559519514403982,medium,20,0.5299999999999999,0.38091993909481814,0.48657047388404145
60,mmau,760e99b1-09aa-479b-b90d-c3c581076e0d,mmau/760e99b1-09aa-479b-b90d-c3c581076e0d,1.3512080290591304,medium,20,0.56,0.431740662898458,0.43100582769913376
61,swebench-multilingual,astral-sh__ruff-15356,swebench-multilingual/astral-sh__ruff-15356,1.3433034343499488,medium,13,0.4230769230769231,0.4741856925360751,0.3941177418138739
62,swtbench,sympy__sympy-15875,swtbench/sympy__sympy-15875,1.3422321039601783,medium,18,0.387037,0.3771872706948396,0.48042944864995407
63,swebench-multilingual,fluent__fluentd-4655,swebench-multilingual/fluent__fluentd-4655,1.3412062081677831,medium,13,0.5769230769230769,0.4741856925360751,0.3920205156317082
64,swebench-multilingual,laravel__framework-48636,swebench-multilingual/laravel__framework-48636,1.3370065642118483,medium,13,0.6153846153846154,0.48650425541051995,0.3755023088013284
65,swebench-multilingual,rubocop__rubocop-13653,swebench-multilingual/rubocop__rubocop-13653,1.3364906124611897,medium,14,0.5952381428571429,0.4573660243963498,0.40220151114176306
66,simpleqa,simpleqa-3164,simpleqa/simpleqa-3164,1.332860974784862,medium,20,0.475,0.3960744879438715,0.4483249483794521
67,replicationbench,lensing_dr6_growth__alens,replicationbench/lensing_dr6_growth__alens,1.3292819839138414,medium,15,0.4333333333333334,0.3717824931626316,0.4786533369050562
68,gpqa-diamond,42,gpqa-diamond/42,1.3291179175014338,medium,12,0.6708333333333334,0.3710673418966189,0.48497365252789204
69,swebench-multilingual,facebook__docusaurus-9897,swebench-multilingual/facebook__docusaurus-9897,1.3290424534845986,medium,13,0.551282076923077,0.4593967466239681,0.39464570686063055
70,replicationbench,ver_waves__gaia_breathing_typical,replicationbench/ver_waves__gaia_breathing_typical,1.3287295687495662,medium,14,0.6714285714285715,0.3431546328418376,0.5086518589846517
71,lawbench,lawbench-2-4-13-zero-shot,lawbench/lawbench-2-4-13-zero-shot,1.3284544706582153,medium,20,0.5529166500000001,0.15019974233409156,0.6897931898625852
72,bigcodebench,bigcodebench_1004,bigcodebench/bigcodebench_1004,1.328045406387711,medium,25,0.65866664,0.3606512991427459,0.4693171841680419
73,swtbench,sympy__sympy-13372,swtbench/sympy__sympy-13372,1.3266645280000442,medium,21,0.49523809523809514,0.32436926411288386,0.511910648502545
74,gaia,4d51c4bf-4b0e-4f3d-897b-3f6687a7d9f2,gaia/4d51c4bf-4b0e-4f3d-897b-3f6687a7d9f2,1.3251930294451413,medium,20,0.37,0.3702701716314724,0.4664613193521303
75,mmau,e6e02fec-0241-40d6-a0f5-7d79d60b9649,mmau/e6e02fec-0241-40d6-a0f5-7d79d60b9649,1.3216487492820568,medium,20,0.585,0.32599846625406076,0.5071887445664575
76,medagentbench,task10_30,medagentbench/task10_30,1.3185613745181792,medium,20,0.4600000000000001,0.3168595903550972,0.5132402457015436
77,reasoning-gym,reasoning-gym-code-bf-hard0292e21f-seed45-1,reasoning-gym/reasoning-gym-code-bf-hard0292e21f-seed45-1,1.3183331875740842,medium,20,0.60500775,0.41287482805468717,0.4169968210578585
78,simpleqa,simpleqa-3452,simpleqa/simpleqa-3452,1.3164445659362816,medium,20,0.7,0.3660601043544625,0.46192292312028044
79,replicationbench,galaxy_manifold__evolution_tracks,replicationbench/galaxy_manifold__evolution_tracks,1.3149799858802718,medium,14,0.43928571428571433,0.36848074742717535,0.4695761615300197
80,bigcodebench,bigcodebench_1040,bigcodebench/bigcodebench_1040,1.3038610953574137,medium,23,0.6905797391304348,0.38293381920756026,0.42669650691908406
81,gpqa-diamond,53,gpqa-diamond/53,1.3014620954069527,medium,12,0.6583333333333333,0.3796013991310125,0.4487837731990173
82,gaia,42d4198c-5895-4f0a-b0c0-424a66465d83,gaia/42d4198c-5895-4f0a-b0c0-424a66465d83,1.2978379705050376,medium,20,0.63,0.434856298103178,0.37452013394032113
83,medagentbench,task1_6,medagentbench/task1_6,1.297649921261211,medium,20,0.65,0.34568772034887213,0.4635006624508002
84,replicationbench,galaxy_soptics__soptics_implementation,replicationbench/galaxy_soptics__soptics_implementation,1.2972288552509252,hard,15,0.29333333333333333,0.4373658524495127,0.4810168489552587
85,replicationbench,ls_cal__hot_temp,replicationbench/ls_cal__hot_temp,1.2962680083355442,medium,20,0.7,0.34928498393145957,0.4585214859425461
86,simpleqa,simpleqa-2203,simpleqa/simpleqa-2203,1.296021465532358,medium,20,0.6075,0.37559120064240054,0.4319687264284191
87,swebench-verified,sympy__sympy-18698,swebench-verified/sympy__sympy-18698,1.2884044931260983,medium,20,0.53,0.3363034344160048,0.463639520248555
88,livecodebench,arc196_a,livecodebench/arc196_a,1.2853984618577499,medium,14,0.35000000000000003,0.411877235523957,0.3965981494107161
89,mmmlu,mmmlu-zh-cn-00125,mmmlu/mmmlu-zh-cn-00125,1.282578389007195,medium,18,0.6944444444444444,0.41666668148149605,0.38129632291031423
90,bigcodebench,bigcodebench_1013,bigcodebench/bigcodebench_1013,1.2819379089100515,medium,26,0.589102576923077,0.43384935746605136,0.34808855144400025
91,swe-lancer,17163-manager-0,swe-lancer/17163-manager-0,1.2818353574770471,medium,16,0.5375,0.4498263553861645,0.351239771321652
92,kumo,fantasyenv-t12-a16-v1-s1,kumo/fantasyenv-t12-a16-v1-s1,1.2777821019728537,medium,20,0.65833335,0.3969501791437151,0.3923703843676
93,arc-agi-2,38007db0_0,arc-agi-2/38007db0_0,1.2755937051438986,medium,20,0.30000000000000004,0.35496478698597694,0.4321673796963832
94,lawbench,lawbench-2-7-20-one-shot,lawbench/lawbench-2-7-20-one-shot,1.2734397609076,medium,20,0.3330593,0.08768752717467862,0.6972906952713829
95,lawbench,lawbench-1-1-9-zero-shot,lawbench/lawbench-1-1-9-zero-shot,1.2693148827703644,medium,20,0.49758925,0.3373761536935998,0.44347719061522606
96,medagentbench,task1_19,medagentbench/task1_19,1.2676529487455124,medium,20,0.63,0.3593048844644336,0.41988652581954033
97,lawbench,lawbench-3-6-18-one-shot,lawbench/lawbench-3-6-18-one-shot,1.2660718921301815,medium,20,0.655,0.16972035823671833,0.6078899954319246
98,reasoning-gym,reasoning-gym-games-mahjong-puzzle-hard0292e21f-seed45-0,reasoning-gym/reasoning-gym-games-mahjong-puzzle-hard0292e21f-seed45-0,1.260708958679306,medium,20,0.57015265,0.3756455799532686,0.396601840264499
99,bfcl,bfcl-live-irrelevance-192-32-5,bfcl/bfcl-live-irrelevance-192-32-5,1.2600947169880172,medium,26,0.6461538461538462,0.40118168647400915,0.35891303051400814
100,humanevalfix,python-10,humanevalfix/python-10,1.251586531054582,easy,20,0.8800000000000001,0.25612496949731395,0.8070000230957295
101,swesmith,oauthlib__oauthlib.1fd52536.combine_file__6cwt9dv9,swesmith/oauthlib__oauthlib.1fd52536.combine_file__6cwt9dv9,1.2500960389634812,medium,17,0.6205882352941177,0.32677516264308587,0.44062856862808764
102,medagentbench,task10_5,medagentbench/task10_5,1.2486971551440949,medium,20,0.35,0.3154362059117501,0.4447994107708063
103,kumo,mlenv-t4-a6-v1-s0,kumo/mlenv-t4-a6-v1-s0,1.2463811047204285,easy,18,0.8888888888888888,0.3142696805273545,0.7474960395776895
104,kumo,mythicalcreatureenv-t4-a6-v1-s0,kumo/mythicalcreatureenv-t4-a6-v1-s0,1.2371193795766076,medium,17,0.5588235882352941,0.40398820742894714,0.3504388644553526
105,medagentbench,task1_28,medagentbench/task1_28,1.233462941332881,medium,20,0.65,0.3570714214271425,0.38792998144420004
106,bixbench,bix-12-q4,bixbench/bix-12-q4,1.2300735083783907,medium,19,0.40263157894736845,0.38813782285302456,0.3553972239869045
107,swesmith,oauthlib__oauthlib.1fd52536.combine_file__8vq3niwz,swesmith/oauthlib__oauthlib.1fd52536.combine_file__8vq3niwz,1.2219476196500665,medium,18,0.3611111111111111,0.2965334698907226,0.44079876514395927
108,medagentbench,task9_12,medagentbench/task9_12,1.2218139816607072,medium,20,0.5,0.4171330722922842,0.3162193709068844
109,livecodebench,arc196_c,livecodebench/arc196_c,1.206428126009984,medium,14,0.3071428571428571,0.3895313772695994,0.3399736718173078
110,humanevalfix,python-77,humanevalfix/python-77,1.2047330786295507,easy,20,0.93,0.23043437243605824,0.7858371677319541
111,bfcl,bfcl-live-simple-123-79-0,bfcl/bfcl-live-simple-123-79-0,1.2002891738338866,medium,26,0.32307692307692304,0.39643380697615777,0.30385536685772885
112,livecodebench,abc325_c,livecodebench/abc325_c,1.2001033323337331,easy,15,0.92,0.25086516962969035,0.7703920088578892
113,algotune,algotune-least-squares,algotune/algotune-least-squares,1.1975435715774951,easy,23,0.9173913043478261,0.22583598109948783,0.777476821247238
114,reasoning-gym,reasoning-gym-games-n-queens-hard0292e21f-seed45-1,reasoning-gym/reasoning-gym-games-n-queens-hard0292e21f-seed45-1,1.195073074854774,medium,20,0.3,0.3376388603226826,0.3689726760705528
115,livecodebench,abc363_e,livecodebench/abc363_e,1.1946135198141277,easy,15,0.9166666666666666,0.2527625148017183,0.7630048511662558
116,bfcl,bfcl-live-parallel-multiple-8-7-0,bfcl/bfcl-live-parallel-multiple-8-7-0,1.18974130487862,medium,26,0.6923076923076923,0.3730570970148351,0.31668420786378493
117,mmmlu,mmmlu-yo-ng-00143,mmmlu/mmmlu-yo-ng-00143,1.1874816945730151,easy,18,0.7685185555555556,0.3732526634258209,0.6296136465318096
118,swe-lancer,25562-manager-0,swe-lancer/25562-manager-0,1.1855251410759124,medium,17,0.4117647058823529,0.3968735951396,0.30595923824400456
119,kumo,educationenv-t12-a16-v1-s1,kumo/educationenv-t12-a16-v1-s1,1.1793433096875838,medium,18,0.5972222222222222,0.4214997620197767,0.2732281630524225
120,livecodebench,3508,livecodebench/3508,1.1700521705818805,easy,15,0.9333333333333333,0.24944382578492946,0.7417621909507974
